Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
journeyPortal,Chrome 87.0.4280.141,,,2021-01-08 01:20:06,2021-01-08 01:31:26,11m - 20.219s,FAILED
,,,,,,,
Test Cases/JourneyPortal/addProductTOCartAndVerifyWhetherIsItShownInUi,Chrome 87.0.4280.141,,,2021-01-08 01:20:06,2021-01-08 01:21:16,1m - 9.511s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-08 01:20:06,2021-01-08 01:20:28,21.508s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 01:20:28,2021-01-08 01:20:31,2.947s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 01:20:31,2021-01-08 01:20:37,6.003s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-08 01:20:37,2021-01-08 01:20:47,10.136s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-08 01:20:47,2021-01-08 01:20:53,6.266s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-08 01:20:53,2021-01-08 01:20:55,1.966s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-08 01:20:55,2021-01-08 01:20:56,1.209s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-08 01:20:56,2021-01-08 01:21:00,3.763s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-08 01:21:00,2021-01-08 01:21:03,3.117s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-08 01:21:03,2021-01-08 01:21:15,11.817s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-08 01:21:15,2021-01-08 01:21:16,0.528s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-08 01:21:16,2021-01-08 01:21:16,0.004s,PASSED
,,,,,,,
Test Cases/JourneyPortal/AddProductToCartMulitpleTimesAndVerifyTheProductsCountAfterRefresh,Chrome 87.0.4280.141,,,2021-01-08 01:21:16,2021-01-08 01:22:20,1m - 4.716s,FAILED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-08 01:21:16,2021-01-08 01:21:38,22.126s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 01:21:38,2021-01-08 01:21:42,3.555s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 01:21:42,2021-01-08 01:21:48,6.441s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-08 01:21:48,2021-01-08 01:21:57,8.595s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-08 01:21:57,2021-01-08 01:22:02,5.692s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-08 01:22:02,2021-01-08 01:22:04,1.906s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-08 01:22:04,2021-01-08 01:22:05,1.179s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-08 01:22:05,2021-01-08 01:22:09,3.368s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-08 01:22:09,2021-01-08 01:22:12,2.965s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-08 01:22:12,2021-01-08 01:22:19,7.294s,PASSED
login.LoginForJourneyApplication.reloadThePage(),Chrome 87.0.4280.141,,,2021-01-08 01:22:19,2021-01-08 01:22:19,0.021s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-08 01:22:19,2021-01-08 01:22:20,1.394s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-08 01:22:20,2021-01-08 01:22:20,0.013s,FAILED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationThroughAccessCodeAndVerifyTheDisplayPage,Chrome 87.0.4280.141,,,2021-01-08 01:22:20,2021-01-08 01:23:08,48.067s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-08 01:22:20,2021-01-08 01:22:39,19.076s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 01:22:40,2021-01-08 01:22:43,3.034s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 01:22:43,2021-01-08 01:22:49,5.882s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-08 01:22:49,2021-01-08 01:22:59,10.350s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-08 01:22:59,2021-01-08 01:23:04,5.605s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-08 01:23:04,2021-01-08 01:23:06,1.884s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-08 01:23:06,2021-01-08 01:23:08,1.188s,PASSED
pages.Journey.sectionPageVerification(),Chrome 87.0.4280.141,,,2021-01-08 01:23:08,2021-01-08 01:23:08,0.892s,PASSED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationThroughInvalidAccessCodeAndVerifyTheErrorMessage,Chrome 87.0.4280.141,,,2021-01-08 01:23:08,2021-01-08 01:23:52,43.271s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-08 01:23:08,2021-01-08 01:23:25,16.818s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 01:23:25,2021-01-08 01:23:28,2.810s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 01:23:28,2021-01-08 01:23:34,5.868s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-08 01:23:34,2021-01-08 01:23:43,9.106s,PASSED
accessCode = accessCode + pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-08 01:23:43,2021-01-08 01:23:43,0.000s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-08 01:23:43,2021-01-08 01:23:48,4.567s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-08 01:23:48,2021-01-08 01:23:50,1.917s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-08 01:23:50,2021-01-08 01:23:51,1.152s,PASSED
pages.Journey.errorLoginCheck(),Chrome 87.0.4280.141,,,2021-01-08 01:23:51,2021-01-08 01:23:52,0.861s,PASSED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationWithEmptyAccessCode,Chrome 87.0.4280.141,,,2021-01-08 01:23:52,2021-01-08 01:24:35,42.779s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-08 01:23:52,2021-01-08 01:24:10,18.498s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 01:24:10,2021-01-08 01:24:13,2.775s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 01:24:13,2021-01-08 01:24:19,5.890s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-08 01:24:19,2021-01-08 01:24:28,8.652s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-08 01:24:28,2021-01-08 01:24:32,4.398s,PASSED
