Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Asset,Chrome 87.0.4280.141,,,2021-01-11 23:37:44,2021-01-11 23:42:06,4m - 21.821s,FAILED
,,,,,,,
Test Cases/Admin/Asset/addAssetAndVerify,Chrome 87.0.4280.141,,,2021-01-11 23:38:09,2021-01-11 23:38:36,26.698s,PASSED
pages.Asset.clickAssetTab(),Chrome 87.0.4280.141,,,2021-01-11 23:38:10,2021-01-11 23:38:23,13.201s,PASSED
assetName = pages.Asset.addAsset(),Chrome 87.0.4280.141,,,2021-01-11 23:38:23,2021-01-11 23:38:31,7.959s,PASSED
pages.Asset.VerifyAssetIsPresent(assetName),Chrome 87.0.4280.141,,,2021-01-11 23:38:31,2021-01-11 23:38:36,5.162s,PASSED
,,,,,,,
Test Cases/Admin/Asset/openAnyAssetAndVerifyUrl,Chrome 87.0.4280.141,,,2021-01-11 23:38:36,2021-01-11 23:38:56,19.844s,PASSED
pages.Asset.clickAssetTab(),Chrome 87.0.4280.141,,,2021-01-11 23:38:36,2021-01-11 23:38:50,13.970s,PASSED
assetName = pages.Asset.getRandomAssetName(),Chrome 87.0.4280.141,,,2021-01-11 23:38:50,2021-01-11 23:38:52,1.165s,PASSED
pages.Asset.verifyUrlOfassetEditPage(assetName),Chrome 87.0.4280.141,,,2021-01-11 23:38:52,2021-01-11 23:38:56,4.422s,PASSED
,,,,,,,
Test Cases/Admin/Asset/deleteAssetAndVerify,Chrome 87.0.4280.141,,,2021-01-11 23:38:56,2021-01-11 23:39:20,24.052s,PASSED
pages.Asset.clickAssetTab(),Chrome 87.0.4280.141,,,2021-01-11 23:38:56,2021-01-11 23:39:08,12.288s,PASSED
assetName = pages.Asset.getRandomAssetName(),Chrome 87.0.4280.141,,,2021-01-11 23:39:08,2021-01-11 23:39:10,1.172s,PASSED
pages.Asset.deleteAsset(assetName),Chrome 87.0.4280.141,,,2021-01-11 23:39:10,2021-01-11 23:39:16,6.729s,PASSED
pages.Asset.VerifyAssetNotPresent(assetName),Chrome 87.0.4280.141,,,2021-01-11 23:39:16,2021-01-11 23:39:20,3.638s,PASSED
,,,,,,,
Test Cases/Admin/Asset/editSourceInAssetEditPageAndVerify,Chrome 87.0.4280.141,,,2021-01-11 23:39:20,2021-01-11 23:39:58,38.299s,PASSED
pages.Asset.clickAssetTab(),Chrome 87.0.4280.141,,,2021-01-11 23:39:20,2021-01-11 23:39:33,12.861s,PASSED
assetDetails = pages.Asset.editSourceInAssetEditPage(),Chrome 87.0.4280.141,,,2021-01-11 23:39:33,2021-01-11 23:39:49,15.886s,PASSED
assetName = assetName,Chrome 87.0.4280.141,,,2021-01-11 23:39:49,2021-01-11 23:39:49,0.010s,PASSED
sourceName = sourceName,Chrome 87.0.4280.141,,,2021-01-11 23:39:49,2021-01-11 23:39:49,0.002s,PASSED
"pages.Asset.verifySourceInEditAssetPage(assetName, sourceName)",Chrome 87.0.4280.141,,,2021-01-11 23:39:49,2021-01-11 23:39:58,9.247s,PASSED
,,,,,,,
Test Cases/Admin/Asset/functionalityOfCancelButtonInAddAssetPopup,Chrome 87.0.4280.141,,,2021-01-11 23:39:58,2021-01-11 23:40:20,21.254s,PASSED
pages.Asset.clickAssetTab(),Chrome 87.0.4280.141,,,2021-01-11 23:39:59,2021-01-11 23:40:10,11.347s,PASSED
assetName = pages.Asset.cancelButtonInAddAssetPopup(),Chrome 87.0.4280.141,,,2021-01-11 23:40:10,2021-01-11 23:40:15,4.976s,PASSED
pages.Asset.VerifyAssetNotPresent(assetName),Chrome 87.0.4280.141,,,2021-01-11 23:40:15,2021-01-11 23:40:20,4.645s,PASSED
,,,,,,,
