Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product,Chrome 87.0.4280.141,,,2021-01-12 05:54:17,2021-01-12 05:57:33,3m - 15.635s,FAILED
,,,,,,,
Test Cases/Admin/Product/addProductAndVerify,Chrome 87.0.4280.141,,,2021-01-12 05:54:34,2021-01-12 05:55:35,1m - 0.942s,PASSED
productname = pages.Product.addProduct(),Chrome 87.0.4280.141,,,2021-01-12 05:54:35,2021-01-12 05:55:22,47.745s,PASSED
pages.Product.verifyProductAdded(productname),Chrome 87.0.4280.141,,,2021-01-12 05:55:22,2021-01-12 05:55:35,12.846s,PASSED
println(productname),Chrome 87.0.4280.141,,,2021-01-12 05:55:35,2021-01-12 05:55:35,0.003s,PASSED
,,,,,,,
Test Cases/Admin/Product/deleteProductAndVerify,Chrome 87.0.4280.141,,,2021-01-12 05:55:35,2021-01-12 05:56:31,55.618s,PASSED
productname = pages.Product.getRandomProductNmae(),Chrome 87.0.4280.141,,,2021-01-12 05:55:35,2021-01-12 05:55:50,14.875s,PASSED
pages.Product.deleteProduct(productname),Chrome 87.0.4280.141,,,2021-01-12 05:55:50,2021-01-12 05:56:19,29.163s,PASSED
pages.Product.verifyProductNotPresent(productname),Chrome 87.0.4280.141,,,2021-01-12 05:56:19,2021-01-12 05:56:31,11.430s,PASSED
,,,,,,,
Test Cases/Admin/Product/deleteProductFromProductEditPageAndVerify,Chrome 87.0.4280.141,,,2021-01-12 05:56:31,2021-01-12 05:56:45,13.971s,PASSED
productname = pages.Product.getRandomProductNmae(),Chrome 87.0.4280.141,,,2021-01-12 05:56:31,2021-01-12 05:56:35,3.378s,PASSED
pages.Product.openAnyExistingProduct(productname),Chrome 87.0.4280.141,,,2021-01-12 05:56:35,2021-01-12 05:56:40,5.304s,PASSED
pages.Product.clickDeleteButtonInProductEditPage(),Chrome 87.0.4280.141,,,2021-01-12 05:56:40,2021-01-12 05:56:41,1.371s,PASSED
pages.Product.clickCloseButtonInProductEditPage(),Chrome 87.0.4280.141,,,2021-01-12 05:56:41,2021-01-12 05:56:42,1.154s,PASSED
pages.Product.verifyProductNotPresent(productname),Chrome 87.0.4280.141,,,2021-01-12 05:56:42,2021-01-12 05:56:45,2.403s,PASSED
,,,,,,,
Test Cases/Admin/Product/editProductNameAndVerify,Chrome 87.0.4280.141,,,2021-01-12 05:56:45,2021-01-12 05:57:20,35.126s,PASSED
productname = pages.Product.addProduct(),Chrome 87.0.4280.141,,,2021-01-12 05:56:45,2021-01-12 05:56:57,11.328s,PASSED
pages.Product.openAnyExistingProduct(productname),Chrome 87.0.4280.141,,,2021-01-12 05:56:57,2021-01-12 05:57:03,6.335s,PASSED
editedName = pages.Product.editProductName(),Chrome 87.0.4280.141,,,2021-01-12 05:57:03,2021-01-12 05:57:13,10.429s,PASSED
pages.Product.verifyProductAdded(editedName),Chrome 87.0.4280.141,,,2021-01-12 05:57:13,2021-01-12 05:57:17,4.176s,PASSED
pages.Product.verifyProductNotPresent(productname),Chrome 87.0.4280.141,,,2021-01-12 05:57:17,2021-01-12 05:57:20,2.525s,PASSED
,,,,,,,
Test Cases/Admin/Product/verifyAddProductPopUp,Chrome 87.0.4280.141,,,2021-01-12 05:57:20,2021-01-12 05:57:27,6.679s,PASSED
pages.Product.clickOnProductTab(),Chrome 87.0.4280.141,,,2021-01-12 05:57:20,2021-01-12 05:57:23,2.832s,PASSED
pages.Product.clickOnAddProductButton(),Chrome 87.0.4280.141,,,2021-01-12 05:57:23,2021-01-12 05:57:25,1.596s,PASSED
pages.Product.verifyProductPopUp(),Chrome 87.0.4280.141,,,2021-01-12 05:57:25,2021-01-12 05:57:27,1.945s,PASSED
,,,,,,,
Test Cases/Admin/Product/verifyCloseButtonFunctionalityInProductEditPage,Chrome 87.0.4280.141,,,2021-01-12 05:57:27,2021-01-12 05:57:29,2.778s,FAILED
productname = pages.Product.getRandomProductNmae(),Chrome 87.0.4280.141,,,2021-01-12 05:57:27,2021-01-12 05:57:29,2.517s,FAILED
,,,,,,,
Test Cases/Admin/Product/verifySaveChangesDeleteAndCloseButtonInProductDetailspage,Chrome 87.0.4280.141,,,2021-01-12 05:57:30,2021-01-12 05:57:33,3.062s,FAILED
productname = pages.Product.addProduct(),Chrome 87.0.4280.141,,,2021-01-12 05:57:30,2021-01-12 05:57:33,2.673s,FAILED
