Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
typeOfBackGround,Chrome 87.0.4280.141,,,2021-01-12 07:17:38,2021-01-12 07:20:47,3m - 8.947s,FAILED
,,,,,,,
Test Cases/JourneyPortal/verifyFixedBackGroundInJourneyPortal,Chrome 87.0.4280.141,,,2021-01-12 07:17:59,2021-01-12 07:18:41,42.392s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:17:59,2021-01-12 07:18:02,3.022s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:18:02,2021-01-12 07:18:12,10.028s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:18:12,2021-01-12 07:18:24,11.971s,PASSED
pages.Journey.typeOfBackGroundToFixed(),Chrome 87.0.4280.141,,,2021-01-12 07:18:24,2021-01-12 07:18:28,3.765s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:18:28,2021-01-12 07:18:33,4.827s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:18:33,2021-01-12 07:18:34,1.782s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:18:34,2021-01-12 07:18:35,1.085s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:18:35,2021-01-12 07:18:40,4.312s,PASSED
pages.JourneyPortal.verifyFixedBackGroundCheck(),Chrome 87.0.4280.141,,,2021-01-12 07:18:40,2021-01-12 07:18:41,1.256s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyScrollingBackGroundInJourneyPortal,Chrome 87.0.4280.141,,,2021-01-12 07:18:41,2021-01-12 07:20:47,2m - 6.071s,FAILED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:18:41,2021-01-12 07:20:47,2m - 5.815s,FAILED
