Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
journeyPorta,Chrome 87.0.4280.141,,,2021-01-12 07:44:05,2021-01-12 08:02:14,18m - 8.391s,ERROR
,,,,,,,
Test Cases/JourneyPortal/addProductTOCartAndVerifyWhetherIsItShownInUi,Chrome 87.0.4280.141,,,2021-01-12 07:44:30,2021-01-12 07:45:42,1m - 12.451s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:44:30,2021-01-12 07:44:33,3.260s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:44:33,2021-01-12 07:44:45,11.930s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:44:45,2021-01-12 07:45:01,15.478s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:45:01,2021-01-12 07:45:05,3.999s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:45:05,2021-01-12 07:45:07,2.204s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:45:07,2021-01-12 07:45:09,1.544s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:45:09,2021-01-12 07:45:12,3.601s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 07:45:12,2021-01-12 07:45:15,3.277s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-12 07:45:15,2021-01-12 07:45:21,5.988s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-12 07:45:21,2021-01-12 07:45:22,0.523s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-12 07:45:22,2021-01-12 07:45:22,0.019s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:45:22,2021-01-12 07:45:42,20.223s,PASSED
,,,,,,,
Test Cases/JourneyPortal/AddProductToCartMulitpleTimesAndVerifyTheProductsCountAfterRefresh,Chrome 87.0.4280.141,,,2021-01-12 07:45:42,2021-01-12 07:46:57,1m - 14.711s,FAILED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:45:43,2021-01-12 07:45:46,3.259s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:45:46,2021-01-12 07:45:57,11.234s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:45:57,2021-01-12 07:46:13,16.414s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:46:13,2021-01-12 07:46:16,2.452s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:46:16,2021-01-12 07:46:18,1.851s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:46:18,2021-01-12 07:46:19,1.330s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:46:19,2021-01-12 07:46:25,5.983s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 07:46:25,2021-01-12 07:46:29,3.503s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-12 07:46:29,2021-01-12 07:46:38,9.013s,PASSED
login.LoginForJourneyApplication.reloadThePage(),Chrome 87.0.4280.141,,,2021-01-12 07:46:38,2021-01-12 07:46:38,0.040s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-12 07:46:38,2021-01-12 07:46:39,1.786s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-12 07:46:39,2021-01-12 07:46:39,0.035s,FAILED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:46:39,2021-01-12 07:46:57,17.432s,PASSED
,,,,,,,
Test Cases/JourneyPortal/clickingOnTheRightAndLeftIsNavigatingCorrctly,Chrome 87.0.4280.141,,,2021-01-12 07:46:57,2021-01-12 07:48:01,1m - 4.105s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:46:57,2021-01-12 07:47:01,3.305s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:47:01,2021-01-12 07:47:11,10.289s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:47:11,2021-01-12 07:47:24,13.322s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:47:24,2021-01-12 07:47:27,2.749s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:47:27,2021-01-12 07:47:29,1.939s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:47:29,2021-01-12 07:47:30,1.341s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:47:30,2021-01-12 07:47:34,3.985s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 07:47:34,2021-01-12 07:47:38,3.101s,PASSED
pages.Product.clickNextSlide(),Chrome 87.0.4280.141,,,2021-01-12 07:47:38,2021-01-12 07:47:40,2.374s,PASSED
pages.Product.clickPreviousSlide(),Chrome 87.0.4280.141,,,2021-01-12 07:47:40,2021-01-12 07:47:42,2.164s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:47:42,2021-01-12 07:48:01,18.966s,PASSED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationThroughAccessCodeAndVerifyTheDisplayPage,Chrome 87.0.4280.141,,,2021-01-12 07:48:01,2021-01-12 07:48:57,55.636s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:48:01,2021-01-12 07:48:05,3.551s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:48:05,2021-01-12 07:48:16,11.087s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:48:16,2021-01-12 07:48:30,13.681s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:48:30,2021-01-12 07:48:32,2.436s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:48:32,2021-01-12 07:48:34,2.316s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:48:34,2021-01-12 07:48:36,1.308s,PASSED
pages.Journey.sectionPageVerification(),Chrome 87.0.4280.141,,,2021-01-12 07:48:36,2021-01-12 07:48:37,1.050s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:48:37,2021-01-12 07:48:57,19.947s,PASSED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationThroughInvalidAccessCodeAndVerifyTheErrorMessage,Chrome 87.0.4280.141,,,2021-01-12 07:48:57,2021-01-12 07:49:53,56.426s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:48:57,2021-01-12 07:49:00,3.197s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:49:00,2021-01-12 07:49:10,10.132s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:49:10,2021-01-12 07:49:24,13.252s,PASSED
accessCode = accessCode + pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-12 07:49:24,2021-01-12 07:49:24,0.001s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:49:24,2021-01-12 07:49:26,2.537s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:49:26,2021-01-12 07:49:28,2.197s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:49:28,2021-01-12 07:49:30,1.358s,PASSED
pages.Journey.errorLoginCheck(),Chrome 87.0.4280.141,,,2021-01-12 07:49:30,2021-01-12 07:49:31,0.909s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:49:31,2021-01-12 07:49:53,22.438s,PASSED
,,,,,,,
Test Cases/JourneyPortal/loginToJourneyApplicationWithEmptyAccessCode,Chrome 87.0.4280.141,,,2021-01-12 07:49:53,2021-01-12 07:50:43,50.091s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:49:53,2021-01-12 07:49:57,3.393s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:49:57,2021-01-12 07:50:07,10.707s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:50:07,2021-01-12 07:50:22,14.110s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:50:22,2021-01-12 07:50:24,2.788s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:50:24,2021-01-12 07:50:26,1.830s,PASSED
pages.Journey.errorLoginCheck(),Chrome 87.0.4280.141,,,2021-01-12 07:50:26,2021-01-12 07:50:27,0.926s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:50:27,2021-01-12 07:50:43,16.100s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyCartIfNoItemsAvailable,Chrome 87.0.4280.141,,,2021-01-12 07:50:43,2021-01-12 07:51:41,57.737s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:50:43,2021-01-12 07:50:46,2.901s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:50:46,2021-01-12 07:50:58,11.892s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:50:58,2021-01-12 07:51:12,13.701s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:51:12,2021-01-12 07:51:15,3.305s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:51:15,2021-01-12 07:51:17,2.192s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:51:17,2021-01-12 07:51:19,1.451s,PASSED
pages.JourneyPortal.clickOnCart(),Chrome 87.0.4280.141,,,2021-01-12 07:51:19,2021-01-12 07:51:21,1.904s,PASSED
pages.JourneyPortal.verifyElementOnCartIfNoItems(),Chrome 87.0.4280.141,,,2021-01-12 07:51:21,2021-01-12 07:51:21,0.481s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:51:21,2021-01-12 07:51:41,19.660s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyClickingOnBackButtonNavigatesBackToSectionPage,Chrome 87.0.4280.141,,,2021-01-12 07:51:41,2021-01-12 07:52:44,1m - 3.341s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:51:41,2021-01-12 07:51:45,3.129s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:51:45,2021-01-12 07:51:56,11.126s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:51:56,2021-01-12 07:52:09,13.479s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:52:09,2021-01-12 07:52:12,3.132s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:52:12,2021-01-12 07:52:15,2.311s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:52:15,2021-01-12 07:52:16,1.238s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:52:16,2021-01-12 07:52:20,3.826s,PASSED
pages.JourneyPortal.clickBackButton(),Chrome 87.0.4280.141,,,2021-01-12 07:52:20,2021-01-12 07:52:22,1.943s,PASSED
pages.Journey.sectionPageVerification(),Chrome 87.0.4280.141,,,2021-01-12 07:52:22,2021-01-12 07:52:22,0.473s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:52:22,2021-01-12 07:52:44,22.245s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyCloseButtonInJourneyPortalProductPopup,Chrome 87.0.4280.141,,,2021-01-12 07:52:44,2021-01-12 07:53:52,1m - 7.494s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:52:45,2021-01-12 07:52:48,3.455s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:52:48,2021-01-12 07:52:59,10.484s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 07:52:59,2021-01-12 07:53:12,13.525s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 07:53:12,2021-01-12 07:53:15,3.145s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 07:53:15,2021-01-12 07:53:17,2.152s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 07:53:17,2021-01-12 07:53:19,1.334s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 07:53:19,2021-01-12 07:53:22,3.748s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 07:53:22,2021-01-12 07:53:26,3.079s,PASSED
pages.JourneyPortal.verifyCloseButton(),Chrome 87.0.4280.141,,,2021-01-12 07:53:26,2021-01-12 07:53:26,0.476s,PASSED
pages.JourneyPortal.clickCloseButtonOnJourneyPortalProductPopup(),Chrome 87.0.4280.141,,,2021-01-12 07:53:26,2021-01-12 07:53:28,1.574s,PASSED
pages.JourneyPortal.productPageCheck(),Chrome 87.0.4280.141,,,2021-01-12 07:53:28,2021-01-12 07:53:28,0.536s,PASSED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:53:28,2021-01-12 07:53:52,23.696s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyElementsInJourneyPotalProductPopup,Chrome 87.0.4280.141,,,2021-01-12 07:53:52,2021-01-12 07:54:53,1m - 0.915s,ERROR
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:53:52,2021-01-12 07:53:56,3.350s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 07:53:56,2021-01-12 07:54:34,37.995s,ERROR
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:54:34,2021-01-12 07:54:53,19.233s,PASSED
,,,,,,,
Test Cases/JourneyPortal/verifyFixedBackGroundInJourneyPortal,Chrome 87.0.4280.141,,,2021-01-12 07:54:53,2021-01-12 07:57:15,2m - 21.835s,FAILED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 07:54:53,2021-01-12 07:56:59,2m - 5.867s,FAILED
Start listener action : navigate,Chrome 87.0.4280.141,,,2021-01-12 07:56:59,2021-01-12 07:57:15,15.709s,PASSED
,,,,,,,
