Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssetSource,Chrome 87.0.4280.88,,,2021-01-12 11:37:23,2021-01-12 11:42:37,5m - 13.623s,FAILED
,,,,,,,
Test Cases/Admin/AssetSource/Add An AssetSource,Chrome 87.0.4280.88,,,2021-01-12 11:37:55,2021-01-12 11:38:16,21.200s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:37:56,2021-01-12 11:38:04,8.794s,PASSED
pages.Assetsource.verifyAssetSourceAdded(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:38:04,2021-01-12 11:38:11,6.752s,PASSED
println(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:38:11,2021-01-12 11:38:11,0.009s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Delete An AssetSource,Chrome 87.0.4280.88,,,2021-01-12 11:38:16,2021-01-12 11:40:41,2m - 25.002s,FAILED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:38:17,2021-01-12 11:38:24,7.040s,PASSED
println(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:38:24,2021-01-12 11:38:24,0.002s,PASSED
pages.Assetsource.deleteAnAssetSource(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:38:24,2021-01-12 11:40:36,2m - 12.401s,FAILED
,,,,,,,
Test Cases/Admin/AssetSource/Edit An AssetSource,Chrome 87.0.4280.88,,,2021-01-12 11:40:41,2021-01-12 11:41:09,27.407s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:40:42,2021-01-12 11:40:49,7.107s,PASSED
println(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:40:49,2021-01-12 11:40:49,0.002s,PASSED
pages.Assetsource.editAnAssetSource(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:40:49,2021-01-12 11:41:04,14.728s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Asset Source tab by clicking it,Chrome 87.0.4280.88,,,2021-01-12 11:41:09,2021-01-12 11:41:16,7.143s,PASSED
pages.Assetsource.navigateToAssetSourceDetailsTab(),Chrome 87.0.4280.88,,,2021-01-12 11:41:09,2021-01-12 11:41:11,1.623s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify by clicking on any asset source in the Asset source tab details page,Chrome 87.0.4280.88,,,2021-01-12 11:41:16,2021-01-12 11:42:02,46.477s,FAILED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:41:16,2021-01-12 11:41:23,6.724s,PASSED
println(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:41:23,2021-01-12 11:41:23,0.004s,PASSED
pages.Assetsource.openAnyExistingAssetSource(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:41:23,2021-01-12 11:41:57,34.245s,FAILED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Cancel button functionality in the Add Asset Source popup,Chrome 87.0.4280.88,,,2021-01-12 11:42:02,2021-01-12 11:42:13,10.984s,PASSED
pages.Assetsource.navigateToAssetSourceDetailsTab(),Chrome 87.0.4280.88,,,2021-01-12 11:42:03,2021-01-12 11:42:05,1.761s,PASSED
pages.Assetsource.clickAddAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:42:05,2021-01-12 11:42:06,1.447s,PASSED
pages.Assetsource.cancelAssetSourcePopup(),Chrome 87.0.4280.88,,,2021-01-12 11:42:06,2021-01-12 11:42:08,2.256s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Close button functionality in the Asset Source edit page,Chrome 87.0.4280.88,,,2021-01-12 11:42:13,2021-01-12 11:42:37,23.562s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.88,,,2021-01-12 11:42:14,2021-01-12 11:42:21,6.834s,PASSED
println(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:42:21,2021-01-12 11:42:21,0.002s,PASSED
pages.Assetsource.openAnyExistingAssetSource(sourcename),Chrome 87.0.4280.88,,,2021-01-12 11:42:21,2021-01-12 11:42:30,9.223s,PASSED
pages.Assetsource.closeAssetSourceEditpage(),Chrome 87.0.4280.88,,,2021-01-12 11:42:30,2021-01-12 11:42:32,2.044s,PASSED
