Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllTestCases,Firefox 84.0,,,2021-01-13 12:31:47,2021-01-13 13:06:42,34m - 55.011s,ERROR
,,,,,,,
Test Cases/Admin/Asset/addAssetAndVerify,Firefox 84.0,,,2021-01-13 12:32:09,2021-01-13 12:32:37,28.013s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:32:09,2021-01-13 12:32:12,3.058s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:32:13,2021-01-13 12:32:15,2.756s,PASSED
assetName = pages.Asset.addAsset(),Firefox 84.0,,,2021-01-13 12:32:15,2021-01-13 12:32:28,12.274s,PASSED
pages.Asset.VerifyAssetIsPresent(assetName),Firefox 84.0,,,2021-01-13 12:32:28,2021-01-13 12:32:37,9.774s,PASSED
,,,,,,,
Test Cases/Admin/Asset/deleteAssetAndVerify,Firefox 84.0,,,2021-01-13 12:32:37,2021-01-13 12:33:42,1m - 4.738s,FAILED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:32:37,2021-01-13 12:32:40,3.025s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:32:41,2021-01-13 12:32:42,1.234s,PASSED
assetName = pages.Asset.getRandomAssetName(),Firefox 84.0,,,2021-01-13 12:32:42,2021-01-13 12:32:43,0.896s,PASSED
pages.Asset.deleteAsset(assetName),Firefox 84.0,,,2021-01-13 12:32:43,2021-01-13 12:33:42,59.463s,FAILED
,,,,,,,
Test Cases/Admin/Asset/editSourceInAssetEditPageAndVerify,Firefox 84.0,,,2021-01-13 12:33:42,2021-01-13 12:35:15,1m - 32.444s,FAILED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:33:42,2021-01-13 12:33:45,3.009s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:33:45,2021-01-13 12:33:54,8.953s,PASSED
assetDetails = pages.Asset.editSourceInAssetEditPage(),Firefox 84.0,,,2021-01-13 12:33:54,2021-01-13 12:34:31,37.034s,PASSED
assetName = assetName,Firefox 84.0,,,2021-01-13 12:34:31,2021-01-13 12:34:31,0.006s,PASSED
sourceName = sourceName,Firefox 84.0,,,2021-01-13 12:34:31,2021-01-13 12:34:31,0.000s,PASSED
"pages.Asset.verifySourceInEditAssetPage(assetName, sourceName)",Firefox 84.0,,,2021-01-13 12:34:31,2021-01-13 12:35:15,43.275s,FAILED
,,,,,,,
Test Cases/Admin/Asset/functionalityOfCancelButtonInAddAssetPopup,Firefox 84.0,,,2021-01-13 12:35:15,2021-01-13 12:35:39,24.609s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:35:15,2021-01-13 12:35:23,8.805s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:35:24,2021-01-13 12:35:25,1.288s,PASSED
assetName = pages.Asset.cancelButtonInAddAssetPopup(),Firefox 84.0,,,2021-01-13 12:35:25,2021-01-13 12:35:29,4.377s,PASSED
pages.Asset.VerifyAssetNotPresent(assetName),Firefox 84.0,,,2021-01-13 12:35:29,2021-01-13 12:35:39,10.008s,PASSED
,,,,,,,
Test Cases/Admin/Asset/functionalityOfCloseButtonandVerify,Firefox 84.0,,,2021-01-13 12:35:39,2021-01-13 12:36:08,29.060s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:35:39,2021-01-13 12:35:42,3.003s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:35:42,2021-01-13 12:35:44,1.334s,PASSED
pages.Asset.closeButtonInAssetEditPage(),Firefox 84.0,,,2021-01-13 12:35:44,2021-01-13 12:35:58,14.549s,PASSED
"verification.Verification.getUrlAndVerify(""dashboard"", ""cancel button is not working"")",Firefox 84.0,,,2021-01-13 12:35:58,2021-01-13 12:36:08,10.020s,PASSED
,,,,,,,
Test Cases/Admin/Asset/functionalityOfSearcBoxWithInvalidDetails,Firefox 84.0,,,2021-01-13 12:36:08,2021-01-13 12:36:18,10.118s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:36:08,2021-01-13 12:36:11,3.001s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:36:11,2021-01-13 12:36:13,1.253s,PASSED
assetName = pages.Asset.getRandomAssetName(),Firefox 84.0,,,2021-01-13 12:36:13,2021-01-13 12:36:13,0.815s,PASSED
